metric_row_id,metric_family,metric_name,aggregation_grain,run_mode,dataset_id,system_id,baseline_system_id,split_schedule_id,initialization_schedule_id,specialist_composition_id,trace_field,agreement_target,compared_metric,row_count,repetition_unit_count,observation_count,pair_count,row_alignment_group_count,mean_value,sample_variance,standard_deviation,standard_error,confidence_level,confidence_method,confidence_interval_width,ci_width_comparison_to_pure,binary_pairwise_agreement,decision_pairwise_agreement,probability_pairwise_stability,mean_abs_probability_difference,consensus_applicability,consensus_field,consensus_pairwise_stability,score_probability_pairwise_stability,mean_row_level_variance,field_exact_repeat_rate,exact_trace_hash_repeat_rate,normalized_trace_distance_mean,normalized_trace_similarity,kappa_agreement,expected_agreement,zero_division_policy,pure_mavs_reference_value,baseline_value,delta_value,direction_vs_baseline,metric_definition_version,source_input_hash,source_backend
d1220e3207bb2570de2e16ca,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_01,full_rf_gbt_mlp,,,f1,270,30,,,,0.7731481481481483,0.0027715694621824874,0.05264569747075717,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
7bc7b75615416a724ccc04af,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_01,gbt_mlp_pair,,,f1,270,30,,,,0.7592592592592593,0.0012416631190577537,0.035237240514230876,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
38d135cdfee0e819d6aeb8f2,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_01,rf_gbt_pair,,,f1,270,30,,,,0.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
11f493c03916fa442df5e5b0,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_01,rf_mlp_pair,,,f1,270,30,,,,0.8784391534391535,0.009774549453668228,0.09886632112943329,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
bf3684c883e3763fbcc5aa9c,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_02,full_rf_gbt_mlp,,,f1,270,30,,,,0.7731481481481483,0.0027715694621824874,0.05264569747075717,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
5e388baf0e3bc44bfe7e4505,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_02,gbt_mlp_pair,,,f1,270,30,,,,0.7592592592592593,0.0012416631190577537,0.035237240514230876,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
4d597675323a0691c2e843e7,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_02,rf_gbt_pair,,,f1,270,30,,,,0.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
7e70e9cf1288162b5b782578,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_02,rf_mlp_pair,,,f1,270,30,,,,0.8784391534391535,0.00977454945366823,0.0988663211294333,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
c2d5675dc97f0d781bd8c003,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_03,full_rf_gbt_mlp,,,f1,270,30,,,,0.7685185185185186,0.002305945792535829,0.04802026439468893,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
18c23a7fb2d788f886e880f8,f1_variance,f1_variance,dataset_system_split_init_composition,locked,adult_income,mean_ensemble,,locked_split_01,init_schedule_03,gbt_mlp_pair,,,f1,270,30,,,,0.7592592592592593,0.0012416631190577537,0.035237240514230876,,,,,,,,,,,,,,,,,,,,,binary_f1_zero_when_denominator_is_zero,,,,,phase4_locked_metric_definitions_v1,12b30b5f246432946e717a9de4740de8f761906027d94b10c0afb32fd395d5cb,empirical_sklearn_repeated_training
